bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,year,publisher
8253,Little Town on the Prairie  (Little House  #7),Laura Ingalls Wilder/Garth Williams,4.19,60885432,9780000000000.0,eng,374,71853,646,2007,HarperTrophy
11101,First Comes Love (Hot Water  California #1),Christie Ridgway,3.81,380818957,9780000000000.0,en-US,384,1051,47,2002,Avon Books
28193,When Santa Fell to Earth,Cornelia Funke/Paul   Howard/Oliver G. Latsch,3.76,043978204X,9780000000000.0,eng,167,1840,245,2006,Chicken House / Scholastic
25047,The Case of the Stinky Science Project (Jigsaw Jones  #9),James Preller/John Speirs/James Preller,3.83,439114284,9780000000000.0,en-US,80,162,11,2001,Scholastic Paperbacks
17800,Dance Dance Dance,Haruki Murakami,4.04,99448769,9780000000000.0,eng,393,50169,2117,2002,Vintage
23601,The J.R.R. Tolkien Companion and Guide  Volume 2: Reader's Guide,Wayne G. Hammond/Wayne G. Hammond,4.46,618391010,9780000000000.0,eng,1262,31,2,2006,Houghton Mifflin Harcourt
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,871202867,9780000000000.0,en-US,108,77,2,1997,Association for Supervision & Curriculum Development
39501,The Burglar Who Thought He Was Bogart (Bernie Rhodenbarr  #7),Lawrence Block,3.89,60872799,9780000000000.0,en-US,400,2134,99,2006,HarperTorch
37387,The Prime of Miss Jean Brodie / The Girls of Slender Means / The Driver's Seat / The Only Problem,Muriel Spark,3.79,1857152743,9780000000000.0,eng,512,1477,90,2004,Random House
32715,Desperation / The Regulators: Box Set,Stephen King/Richard Bachman,4.07,067077605X,9780000000000.0,eng,1075,3231,72,1996,Viking Adult
2067,Breaking the Spell: Religion as a Natural Phenomenon,Daniel C. Dennett,3.89,067003472X,9780000000000.0,eng,448,10135,330,2006,Viking Books
30380,Prime Time,Rachel Ryan/Sandra Brown,3.58,446364290,9780000000000.0,eng,256,2005,60,1995,Grand Central Publishing
5027,I Love Saturdays y domingos,Alma Flor Ada/Elivia Savadier,4.05,068987409X,9780000000000.0,en-US,32,34,10,2004,Atheneum Books for Young Readers
19313,Christmas in Noisy Village,Astrid Lindgren/Ilon Wikland/Florence Lamborn,4.18,140503447,9780000000000.0,en-US,32,830,41,1981,Puffin Books
4075,In Search of Memory: The Emergence of a New Science of Mind,Eric R. Kandel,4.1,393058638,9780000000000.0,eng,430,3958,172,2006,W. W. Norton & Company
11890,The Wapshot Chronicle,John Cheever/Rick Moody,3.76,60528877,9780000000000.0,eng,352,6152,257,2003,Harper Perennial Modern Classics
11616,The Gardens of Emily Dickinson,Judith Farr/Louise Carter,3.84,067401829X,9780000000000.0,eng,350,54,13,2005,Harvard University Press
1305,Gates of Fire,Steven Pressfield,4.42,055338368X,9780000000000.0,eng,392,21934,1629,2005,Bantam
4888,The Drama of the Gifted Child: The Search for the True Self,Alice   Miller,4.09,046501691X,9780000000000.0,en-US,118,97,10,1983,Basic Books
12071,Buenos Presagios: las buenas y ajustadas profecías de Agnes La Chalada,Terry Pratchett/Neil Gaiman,4.25,159497098X,9780000000000.0,spa,318,104,14,2005,Norma Editorial
6903,My Sister's Keeper,Mavis Applewater,3.86,097441218X,9780000000000.0,eng,252,89,2,2004,Limitless Corporation
11371,It Can't Happen Here,Sinclair Lewis/Michael R.  Meyer,3.77,045121658X,9780000000000.0,eng,400,9031,1555,2005,NAL Trade
43230,The English Novel: An Introduction,Terry Eagleton,3.77,1405117079,9780000000000.0,eng,376,101,10,2004,Wiley-Blackwell
21626,Not of Woman Born,Constance Ash/Nina Kiriki Hoffman/Patricia A. McKillip/Walter Jon Williams/Debra Doyle/James D. Macdonald/Kara Dalkey/Michael Armstrong/Richard Parks/Sage Walker/Susan Palwick/William F. Wu/Jack McDevitt/Janni Lee Simner/Robert Silverberg,3.82,451456815,9780000000000.0,eng,288,60,11,1999,Roc
39625,Call of the Moon,Ronda Thompson,3.74,505525151,9780000000000.0,eng,352,126,8,2009,Love Spell
13823,Roger Zelazny's To Rule in Amber (The Dawn of Amber  #3),John Gregory Betancourt/Roger Zelazny,3.77,1596871326,9780000000000.0,eng,310,753,13,2005,iBooks
24040,The Discovery (Dive  #1),Gordon Korman,3.72,439507227,9780000000000.0,eng,141,1858,135,2003,Apple Paperbacks (Scholastic)
30948,The Rise of Christianity,Rodney Stark,4.04,60677015,9780000000000.0,eng,272,1363,151,1997,HarperOne
24626,A Stranger Came Ashore,Mollie Hunter/Lisa Falkenstern,3.82,64400824,9780000000000.0,eng,163,464,49,1977,HarperCollins Publishers
20812,Four Weddings and a Funeral,Richard Curtis,3.75,312143400,9780000000000.0,eng,128,47,4,1996,St. Martin's Griffin
32350,Mutants & Masterminds: RPG,Steve Kenson/Ramón Pérez,3.81,1932442529,9780000000000.0,eng,253,305,8,2005,Green Ronin Publishing
1823,Them: Adventures with Extremists,Jon Ronson,3.95,743233212,9780000000000.0,eng,336,11990,831,2003,Simon  Schuster
29900,Into the Void (Spelljammer: The Cloakmaster Cycle  #2),Nigel Findley,3.54,1560761547,9780000000000.0,en-US,311,257,12,1991,TSR
37476,Why I Hate Canadians,Will Ferguson,3.72,1550546007,9780000000000.0,en-GB,220,630,48,2007,Not Avail
28728,Beyond World's End (Bedlam's Bard  #4),Mercedes Lackey/Rosemary Edghill,3.93,671318551,9780000000000.0,en-US,416,2508,22,2001,Baen
17698,The Cossacks,Leo Tolstoy/Peter Constantine/Cynthia Ozick,3.79,812975049,9780000000000.0,eng,161,4356,226,2006,Modern Library
18081,Joy in the Morning (Jeeves  #8),P.G. Wodehouse,4.34,1841591157,9780000000000.0,eng,296,38,0,2002,Everyman
13956,Wise Child,Monica Furlong,4.14,394891058,9780000000000.0,eng,228,178,12,2004,Random House
23257,The Great Philosophers: An Introduction to Western Philosophy,Bryan Magee/Myles Burnyeat/Martha C. Nussbaum/Anthony Kenny/Bernard Williams/Anthony Quinton/Michael  Ayres/John Passmore/Geoffrey Warnock/Peter Singer/Frederick Charles Copleston/J. P. Stern/Hubert L. Dreyfus/Sidney Morgenbesser/A.J. Ayer/John Rogers Searle,4.07,019289322X,9780000000000.0,eng,352,359,18,2001,Oxford University Press  USA
3417,Caesar's Women (Masters of Rome  #4),Colleen McCullough,4.25,380710846,9780000000000.0,eng,943,5423,157,1997,Avon
26480,Witness,Karen Hesse,3.72,439272009,9780000000000.0,eng,161,4667,703,2003,Scholastic Paperbacks
15796,Charms for the Easy Life,Kaye Gibbons,4.02,60760257,9780000000000.0,eng,272,11168,744,2005,Harper Perennial
4642,Hemingway's Cats: An Illustrated Biography,Carlene Fredericka Brennen/Hilary Hemingway,3.82,1561643424,9780000000000.0,eng,185,45,9,2005,Pineapple Press
31382,Living with Passion and Purpose: Luke (Woman After God's Own Heart),Elizabeth George,4.0,736908161,9780000000000.0,eng,160,22,4,2005,Harvest House Publishers
19335,Beatrix Potter: A Life in Nature,Linda Lear,4.03,312369344,9780000000000.0,eng,584,1328,184,2007,St. Martin's Press
